algo_fullstrong,algo_pscost,feature_constraint_degree_max,feature_constraint_degree_mean,feature_constraint_degree_min,feature_constraint_degree_stdev,feature_continuous_variables,feature_feasible_round_downs,feature_feasible_round_ups,feature_integer_variables,feature_lattice_flatness,feature_lhs_coefficient_max,feature_lhs_coefficient_mean,feature_lhs_coefficient_min,feature_lhs_coefficient_stdev,feature_nonzeros,feature_objective_max,feature_objective_mean,feature_objective_min,feature_objective_stdev,feature_prob_feasible_rounding,feature_relaxation_integer_violations,feature_relaxation_total_fractionality,feature_rhs_max,feature_rhs_mean,feature_rhs_min,feature_rhs_stdev,feature_svd_condition,feature_svd_largest,feature_svd_smallest,feature_variable_degree_max,feature_variable_degree_mean,feature_variable_degree_min,feature_variable_degree_stdev,feature_vc_adjacency_eigenvalue_stdev,feature_vc_algebraic_connectivity,feature_vc_energy,feature_vc_girth,feature_vc_revised_szeged_index,feature_vc_szeged_index,source,instances
5,19,10.0,6.7,2.0,2.54078,1.0,3.0,1.0,9.0,0.00511798,3.94875,1.43734,-0.855299,0.959979,67.0,2.34548,-2.48894,-7.51653,2.87638,0.185,4.0,0.823744,13.2083,4.55484,0.0887794,4.05459,331.031,10.8643,0.0328196,9.0,6.7,3.0,1.88856,2.14993,1.48675,1.5195,4.0,4854.0,4854.0,Diversified,inst_0063
1,1,10.0,9.5,8.0,0.707107,3.0,0.0,1.0,7.0,0.105652,2.65718,0.690239,-0.905068,0.8081,95.0,4.87614,-1.38291,-10.9105,4.67957,0.479,1.0,5.92571e-09,6.00795,3.76984,-0.294368,1.86694,130.793,7.60442,0.0581411,10.0,9.5,7.0,0.971825,2.90474,6.30812,1.21834,4.0,7579.0,7579.0,Diversified,inst_0855
1,1,9.0,6.8,1.0,2.4404,2.0,1.0,1.0,8.0,0.392236,0.915927,0.604718,0.308875,0.119406,68.0,2.03204,-0.822719,-2.60791,1.33808,1.0,1.0,1.18482e-10,3.86225,2.23018,0.912446,0.884754,102.058,4.76265,0.0466661,9.0,6.8,1.0,3.04777,2.33499,0.0,1.27297,4.0,5210.0,3990.0,Diversified,inst_0598
1,1,8.0,4.2,1.0,2.78089,0.0,1.0,0.0,10.0,1.20625e-309,1.59333,0.362287,-0.371924,0.482864,42.0,1.73168,0.793976,-0.509054,0.739257,0.521,1.0,0.00422449,8.51521,2.65337,0.0,3.00188,282.171,2.43219,0.00861957,8.0,4.2,1.0,2.39444,1.5141,0.703078,1.42201,4.0,2576.0,2576.0,Diversified,inst_0933
11,21,10.0,6.7,2.0,2.90784,2.0,2.0,0.0,8.0,0.484029,3.52734,1.7793,-0.12356,0.762447,67.0,-0.912254,-9.2201,-19.6512,6.01875,0.258,2.0,0.851475,16.3513,12.3457,8.69335,2.55087,36.1252,13.129,0.363431,9.0,6.7,4.0,1.63639,2.0917,1.63566,1.59485,4.0,4833.0,4833.0,Diversified,inst_0415
1,1,3.0,1.6,1.0,0.843274,5.0,0.0,2.0,5.0,5.563e-321,1.7012,-0.0112678,-2.14907,0.946985,16.0,9.99571,1.61045,-1.48475,3.2779,0.243,2.0,0.898055,3.0057,0.72887,-1.32475,1.32751,89.2924,2.81885,0.0315688,5.0,1.6,1.0,1.3499,0.616536,0.0,1.11305,4.0,1204.0,84.0,Diversified,inst_0188
3,5,5.0,2.9,1.0,2.02485,1.0,0.0,2.0,9.0,1.0,0.433613,-0.249175,-0.933337,0.317328,29.0,6.21205,1.84645,-0.202817,2.1856,0.058,4.0,0.187451,3.98305,0.309744,-1.77566,1.7705,329.743,1.6909,0.00512794,5.0,2.9,1.0,2.02485,1.36278,0.0,1.06569,4.0,2341.0,376.0,Diversified,inst_0929
1,1,5.0,1.4,1.0,1.26491,6.0,1.0,1.0,4.0,1.0,1.43892,-0.602923,-2.19457,0.944668,14.0,6.38953,1.57792,-1.981,2.31167,0.25,2.0,0.314278,5.67654,-0.0718966,-7.52806,3.17114,87.6418,2.19457,0.0250402,4.0,1.4,1.0,0.966092,0.683934,0.0,0.97756,0.0,1012.0,22.0,Diversified,inst_0628
74,148,10.0,5.8,1.0,2.74064,0.0,1.0,2.0,10.0,4.75497e-309,1.4476,0.103951,-0.817028,0.410934,58.0,2.07557,0.143017,-3.28733,1.56082,0.0,6.0,1.17872,6.81459,1.18554,-2.65,2.60293,139.746,1.79962,0.0128778,8.0,5.8,4.0,1.39841,1.88124,0.841942,1.56138,4.0,4204.0,4204.0,Diversified,inst_0724
6,10,6.0,2.7,1.0,2.16282,1.0,0.0,5.0,9.0,1.0,-0.898913,-1.5724,-2.80785,0.47614,27.0,6.41145,3.14148,0.771747,1.86217,0.223,5.0,0.907064,5.74217,-1.972,-8.21845,3.9725,12.1534,6.80464,0.559897,6.0,2.7,1.0,2.00278,1.12179,0.0,1.22659,4.0,1922.0,599.0,Diversified,inst_0588
3,3,6.0,4.7,2.0,1.49443,0.0,0.0,2.0,10.0,1.0,0.0562331,-1.49314,-4.02428,0.853027,47.0,23.8324,8.78783,0.0,6.93664,0.742,2.0,0.551387,1.91261,-6.19315,-16.3118,6.882,448.704,9.88006,0.0220191,9.0,4.7,1.0,3.74314,1.73972,0.383274,1.35082,4.0,2984.0,2984.0,Diversified,inst_0337
1,1,6.0,2.3,1.0,1.94651,4.0,0.0,0.0,6.0,1.0,0.487004,-0.590003,-1.68801,0.544692,23.0,7.99298,2.35952,0.0,2.6521,1.0,0.0,0.0,5.22391,1.55614,0.0,1.68083,130.842,3.34784,0.0255869,4.0,2.3,1.0,1.41814,0.944529,0.0,1.20519,4.0,1721.0,333.0,Diversified,inst_0865
1,1,3.0,1.6,1.0,0.699206,3.0,0.0,0.0,7.0,3.7874e-13,2.24918,1.61862,1.11189,0.376407,16.0,7.0,1.26597,-0.839569,2.14489,1.0,0.0,0.0,4.37044,1.74855,0.0,1.90509,29.6597,4.43846,0.149646,4.0,1.6,1.0,1.07497,0.587764,0.0,1.12774,4.0,1214.0,94.0,Diversified,inst_0824
21,35,7.0,5.5,1.0,2.01384,3.0,0.0,2.0,7.0,1.0,0.676879,-1.28453,-4.05583,0.905868,55.0,11.8554,7.11044,3.45897,2.57307,0.135,4.0,1.10567,0.311222,-6.83998,-17.6155,6.42505,230.406,9.18087,0.0398464,9.0,5.5,1.0,3.27448,1.82824,0.816545,1.52468,4.0,3724.0,3724.0,Diversified,inst_0943
3,9,7.0,3.1,1.0,2.13177,5.0,0.0,4.0,5.0,1.0,0.662948,-0.290692,-0.726247,0.294878,31.0,4.37591,1.23184,0.115682,1.35246,0.038,5.0,0.604843,0.789471,-1.62969,-3.69922,1.5567,293.563,1.38888,0.00473113,5.0,3.1,1.0,1.59513,1.20574,0.0,1.31106,4.0,2143.0,1053.0,Diversified,inst_0766
1,1,10.0,6.8,1.0,3.11983,1.0,1.0,1.0,9.0,0.254521,1.16542,0.495697,-0.378678,0.260451,68.0,0.997797,-1.22392,-3.08518,1.33964,1.0,1.0,8.87218e-10,8.89103,3.90503,2.14298,1.98913,310.308,3.66315,0.0118049,9.0,6.8,4.0,1.54919,2.16265,0.88392,1.53519,4.0,4840.0,4840.0,Diversified,inst_0491
